ID_Transacao,Data_Processamento,Valor_Recebido
TRX-000001,2026-05-29,8830.25
TRX-000002,2026-05-18,12189.73
TRX-000003,2026-05-27,8348.01
TRX-000004,2026-06-15,14943.91
TRX-000005,2026-06-03,13320.13
TRX-000006,2026-06-07,1045.44
TRX-000007,2026-06-05,10364.71
TRX-000008,2026-06-13,13003.86
TRX-000009,2026-05-30,10414.81
TRX-000010,2026-06-06,14392.52
TRX-000011,2026-06-10,3226.31
TRX-000012,2026-05-21,3059.69
TRX-000013,2026-05-20,12275.31
TRX-000014,2026-06-12,3127.7
TRX-000015,2026-05-30,9730.57
TRX-000016,2026-06-04,2042.81
TRX-000017,2026-05-24,13325.28
TRX-000018,2026-06-13,5951.13
TRX-000020,2026-06-06,3468.64
TRX-000021,2026-06-05,14055.64
TRX-000022,2026-06-11,5647.59
TRX-000023,2026-06-07,14719.8
TRX-000024,2026-06-13,9187.02
TRX-000025,2026-06-02,12879.51
TRX-000026,2026-05-21,513.95
TRX-000027,2026-06-15,14464.0
TRX-000028,2026-06-07,965.52
TRX-000029,2026-06-12,4324.7
TRX-000030,2026-06-09,14322.16
TRX-000031,2026-06-16,10515.43
TRX-000032,2026-06-01,4140.78
TRX-000033,2026-06-10,8814.29
TRX-000034,2026-06-18,1368.97
TRX-000035,2026-06-11,656.98
TRX-000036,2026-05-23,1599.52
TRX-000037,2026-06-14,10276.83
TRX-000038,2026-06-01,7614.9
TRX-000039,2026-06-02,1547.48
TRX-000040,2026-06-08,5742.5
TRX-000041,2026-05-27,9360.44
TRX-000042,2026-05-24,10392.82
TRX-000043,2026-05-20,14370.03
TRX-000044,2026-05-30,10949.55
TRX-000045,2026-05-24,1731.93
TRX-000046,2026-06-02,13725.25
TRX-000047,2026-06-09,2971.76
TRX-000048,2026-06-08,7956.04
TRX-000049,2026-05-31,1557.51
TRX-000050,2026-06-11,1497.6
TRX-000051,2026-06-14,14482.09
TRX-000052,2026-05-19,5488.51
TRX-000053,2026-06-10,11912.11
TRX-000054,2026-06-13,3575.98
TRX-000055,2026-06-18,5719.27
TRX-000056,2026-05-31,6398.91
TRX-000057,2026-06-06,3597.85
TRX-000058,2026-05-21,11168.63
TRX-000059,2026-05-24,8771.09
TRX-000060,2026-05-23,917.97
TRX-000061,2026-05-23,1933.33
TRX-000062,2026-06-08,2658.72
TRX-000063,2026-06-08,3472.31
TRX-000064,2026-06-15,7683.76
TRX-000065,2026-06-07,3240.73
TRX-000066,2026-06-11,4096.24
TRX-000067,2026-05-23,5751.93
TRX-000068,2026-06-14,1633.79
TRX-000069,2026-06-16,5282.39
TRX-000070,2026-05-29,9744.06
TRX-000071,2026-05-29,916.39
TRX-000072,2026-05-22,3311.35
TRX-000073,2026-05-26,12316.9
TRX-000074,2026-06-08,12502.28
TRX-000075,2026-05-30,12771.93
TRX-000076,2026-05-23,5722.11
TRX-000077,2026-06-09,9324.47
TRX-000078,2026-06-04,4942.71
TRX-000079,2026-06-01,14305.11
TRX-000080,2026-06-08,4424.92
TRX-000081,2026-06-08,3534.39
TRX-000082,2026-06-11,9767.66
TRX-000083,2026-05-30,4658.93
TRX-000084,2026-06-01,2727.28
TRX-000085,2026-06-10,4259.62
TRX-000086,2026-06-04,5501.36
TRX-000087,2026-05-31,2616.79
TRX-000089,2026-06-11,14794.21
TRX-000090,2026-05-24,10441.53
TRX-000091,2026-06-04,5994.4
TRX-000092,2026-06-11,5640.85
TRX-000093,2026-06-02,7962.12
TRX-000094,2026-06-04,2896.1
TRX-000095,2026-06-12,6304.97
TRX-000096,2026-06-01,6744.63
TRX-000097,2026-05-30,8167.58
TRX-000098,2026-05-23,12146.59
TRX-000099,2026-06-16,4804.03
TRX-000100,2026-06-11,7241.85
TRX-000101,2026-06-12,6286.43
TRX-000102,2026-06-08,3575.34
TRX-000104,2026-06-17,971.19
TRX-000105,2026-05-21,5780.35
TRX-000106,2026-05-24,11915.6
TRX-000107,2026-05-30,11873.49
TRX-000108,2026-06-08,603.27
TRX-000109,2026-06-04,1867.11
TRX-000110,2026-06-01,4229.77
TRX-000111,2026-05-25,10994.09
TRX-000112,2026-05-28,6289.56
TRX-000113,2026-06-15,14102.18
TRX-000114,2026-05-31,1656.24
TRX-000116,2026-06-02,14669.85
TRX-000117,2026-05-26,11802.45
TRX-000118,2026-06-02,3554.53
TRX-000119,2026-05-21,9206.17
TRX-000120,2026-06-07,10736.55
TRX-000121,2026-05-23,5701.08
TRX-000122,2026-06-06,7836.44
TRX-000124,2026-06-04,10855.74
TRX-000125,2026-05-24,4070.9
TRX-000126,2026-06-02,13655.93
TRX-000127,2026-06-15,10717.3
TRX-000128,2026-06-15,13519.83
TRX-000129,2026-05-27,5857.23
TRX-000130,2026-06-15,11655.54
TRX-000131,2026-06-15,5855.18
TRX-000132,2026-06-01,8997.12
TRX-000133,2026-05-22,9173.33
TRX-000134,2026-06-11,523.09
TRX-000135,2026-06-05,13161.11
TRX-000136,2026-05-26,2677.64
TRX-000137,2026-05-28,9114.62
TRX-000138,2026-06-10,5330.52
TRX-000139,2026-06-06,4598.91
TRX-000140,2026-06-19,3252.69
TRX-000141,2026-05-27,2477.91
TRX-000142,2026-06-16,3950.98
TRX-000143,2026-05-28,5105.0
TRX-000144,2026-06-01,14836.53
TRX-000145,2026-06-08,5187.3
TRX-000147,2026-06-11,1890.52
TRX-000148,2026-05-20,14869.44
TRX-000149,2026-06-14,13797.32
TRX-000150,2026-06-08,2129.94
TRX-000152,2026-05-26,1843.61
TRX-000153,2026-06-03,3727.99
TRX-000154,2026-05-31,13351.95
TRX-000156,2026-06-01,1179.64
TRX-000157,2026-06-09,1995.58
TRX-000158,2026-05-22,13662.37
TRX-000159,2026-06-06,7745.45
TRX-000160,2026-06-02,6528.67
TRX-000161,2026-06-15,7923.54
TRX-000162,2026-06-14,7570.94
TRX-000163,2026-06-15,11863.41
TRX-000165,2026-06-18,8464.1
TRX-000167,2026-06-07,6751.04
TRX-000168,2026-06-04,9280.88
TRX-000169,2026-06-03,13559.51
TRX-000170,2026-06-09,7657.36
TRX-000171,2026-05-29,12264.4
TRX-000172,2026-06-08,6209.58
TRX-000173,2026-05-21,2047.58
TRX-000174,2026-06-14,8442.12
TRX-000175,2026-06-12,13987.3
TRX-000176,2026-05-29,7641.19
TRX-000177,2026-05-30,5021.44
TRX-000178,2026-06-17,6508.78
TRX-000179,2026-06-10,6981.21
TRX-000180,2026-05-27,14381.31
TRX-000181,2026-06-11,8992.76
TRX-000182,2026-06-17,11138.95
TRX-000184,2026-05-21,646.76
TRX-000185,2026-05-26,14453.89
TRX-000187,2026-06-11,5365.63
TRX-000188,2026-05-22,10564.23
TRX-000189,2026-06-03,10900.16
TRX-000190,2026-05-29,11988.19
TRX-000191,2026-05-28,14414.52
TRX-000192,2026-06-11,12316.18
TRX-000193,2026-06-17,12588.19
TRX-000194,2026-05-24,1181.75
TRX-000195,2026-05-31,613.29
TRX-000196,2026-06-13,12902.43
TRX-000197,2026-05-31,9300.24
TRX-000198,2026-06-14,10619.9
TRX-000199,2026-06-15,8826.41
TRX-000200,2026-06-04,2950.46
TRX-000201,2026-06-02,3001.11
TRX-000202,2026-06-16,721.0
TRX-000203,2026-05-23,14177.35
TRX-000204,2026-06-16,5525.17
TRX-000205,2026-05-20,9661.88
TRX-000206,2026-05-25,12109.93
TRX-000208,2026-06-07,10020.64
TRX-000210,2026-06-19,2631.64
TRX-000211,2026-06-14,9408.55
TRX-000212,2026-05-27,5670.19
TRX-000213,2026-05-23,5680.54
TRX-000214,2026-06-15,4586.26
TRX-000215,2026-06-19,6406.11
TRX-000216,2026-06-05,1318.98
TRX-000217,2026-05-31,3133.58
TRX-000218,2026-06-09,6364.33
TRX-000220,2026-05-26,3988.64
TRX-000221,2026-05-27,9535.83
TRX-000222,2026-06-16,6471.9
TRX-000223,2026-06-01,6102.02
TRX-000224,2026-06-13,8017.68
TRX-000226,2026-06-01,10049.25
TRX-000227,2026-05-25,14747.29
TRX-000228,2026-06-05,6142.28
TRX-000229,2026-05-26,12519.01
TRX-000230,2026-06-04,1771.11
TRX-000231,2026-06-07,9337.11
TRX-000232,2026-06-11,11609.67
TRX-000233,2026-05-31,5459.92
TRX-000234,2026-06-17,9791.84
TRX-000235,2026-06-17,2200.66
TRX-000237,2026-06-05,13456.23
TRX-000238,2026-06-07,2383.63
TRX-000239,2026-05-23,1558.17
TRX-000240,2026-06-05,4841.77
TRX-000241,2026-05-25,5869.54
TRX-000242,2026-06-16,8565.88
TRX-000243,2026-05-21,7683.3
